Date,TN confirmed,TX confirmed,TN deaths,TX deaths
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,1,3,0,0
2020-03-06,1,4,0,0
2020-03-07,1,8,0,0
2020-03-08,3,11,0,0
2020-03-09,3,16,0,0
2020-03-10,7,21,0,0
2020-03-11,8,21,0,0
2020-03-12,17,23,0,0
2020-03-13,18,37,0,0
2020-03-14,32,51,0,0
2020-03-15,39,59,0,0
2020-03-16,55,60,0,1
2020-03-17,73,76,0,1
2020-03-18,98,107,0,2
2020-03-19,154,230,0,4
2020-03-20,227,304,1,5
2020-03-21,367,338,1,5
2020-03-22,498,365,2,5
2020-03-23,607,702,2,9
2020-03-24,667,894,2,11
2020-03-25,780,1211,4,15
2020-03-26,956,1576,4,21
2020-03-27,1201,1915,6,23
2020-03-28,1370,2225,6,30
2020-03-29,1579,2663,6,35
2020-03-30,1833,3085,13,39
2020-03-31,2238,3604,22,50
2020-04-01,2681,4268,24,64
