Date,TN confirmed,TX confirmed,TN deaths,TX deaths
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0
2020-03-05,1.0,3.0,0.0,0.0
2020-03-06,1.0,4.0,0.0,0.0
2020-03-07,1.0,8.0,0.0,0.0
2020-03-08,3.0,11.0,0.0,0.0
2020-03-09,3.0,16.0,0.0,0.0
2020-03-10,7.0,21.0,0.0,0.0
2020-03-11,8.0,21.0,0.0,0.0
2020-03-12,17.0,23.0,0.0,0.0
2020-03-13,18.0,37.0,0.0,0.0
2020-03-14,32.0,51.0,0.0,0.0
2020-03-15,39.0,59.0,0.0,0.0
2020-03-16,55.0,60.0,0.0,1.0
2020-03-17,73.0,76.0,0.0,1.0
2020-03-18,98.0,107.0,0.0,2.0
2020-03-19,154.0,230.0,0.0,4.0
2020-03-20,227.0,304.0,1.0,5.0
2020-03-21,367.0,338.0,1.0,5.0
2020-03-22,498.0,365.0,2.0,5.0
2020-03-23,607.0,702.0,2.0,9.0
2020-03-24,667.0,894.0,2.0,11.0
2020-03-25,780.0,1211.0,4.0,15.0
2020-03-26,956.0,1576.0,4.0,21.0
2020-03-27,1201.0,1915.0,6.0,23.0
2020-03-28,1370.0,2225.0,6.0,30.0
2020-03-29,1579.0,2663.0,6.0,35.0
2020-03-30,1833.0,3085.0,13.0,39.0
2020-03-31,2238.0,3604.0,22.0,50.0
2020-04-01,2681.0,4268.0,24.0,64.0
2020-04-02,2844.0,4954.0,31.0,77.0
2020-04-03,3066.0,5704.0,37.0,90.0
2020-04-04,3319.0,6363.0,43.0,107.0
2020-04-05,3631.0,7007.0,45.0,127.0
2020-04-06,3800.0,7583.0,65.0,141.0
2020-04-07,4136.0,8653.0,72.0,155.0
2020-04-08,4362.0,9718.0,79.0,178.0
2020-04-09,4632.0,10563.0,94.0,199.0
2020-04-10,4859.0,12032.0,98.0,226.0
2020-04-11,5111.0,12953.0,101.0,254.0
2020-04-12,5302.0,13731.0,101.0,271.0
2020-04-13,5603.0,14210.0,109.0,271.0
2020-04-14,5816.0,14620.0,124.0,318.0
2020-04-15,6073.0,15916.0,134.0,364.0
2020-04-16,6260.0,16836.0,140.0,393.0
2020-04-17,6581.0,17758.0,142.0,428.0
2020-04-18,6753.0,18257.0,145.0,453.0
2020-04-19,7064.0,19099.0,148.0,477.0
2020-04-20,7232.0,19455.0,152.0,495.0
2020-04-21,7389.0,20192.0,157.0,516.0
2020-04-22,7835.0,21061.0,166.0,543.0
2020-04-23,8262.0,21941.0,170.0,560.0
2020-04-24,8722.0,22802.0,170.0,592.0
2020-04-25,9186.0,23768.0,178.0,622.0
2020-04-26,9662.0,24617.0,181.0,646.0
2020-04-27,9914.0,25276.0,184.0,662.0
2020-04-28,10049.0,26111.0,184.0,689.0
2020-04-29,10363.0,26973.0,194.0,731.0
2020-04-30,10731.0,27991.0,199.0,781.0
2020-05-01,11889.0,29112.0,204.0,815.0
2020-05-02,12659.0,30394.0,209.0,846.0
2020-05-03,13176.0,31394.0,210.0,866.0
2020-05-04,13528.0,32179.0,219.0,883.0
2020-05-05,13639.0,33214.0,226.0,906.0
2020-05-06,13929.0,34246.0,238.0,946.0
2020-05-07,14091.0,35384.0,238.0,972.0
2020-05-08,14436.0,36607.0,241.0,1003.0
2020-05-09,14763.0,37856.0,242.0,1048.0
2020-05-10,14983.0,38842.0,243.0,1087.0
2020-05-11,15541.0,39842.0,251.0,1098.0
2020-05-12,16107.0,41015.0,264.0,1131.0
2020-05-13,16368.0,42352.0,272.0,1157.0
2020-05-14,16696.0,43777.0,287.0,1215.0
2020-05-15,16968.0,45113.0,290.0,1271.0
2020-05-16,17285.0,46911.0,295.0,1304.0
2020-05-17,17383.0,47687.0,298.0,1334.0
2020-05-18,18003.0,48577.0,301.0,1344.0
2020-05-19,18365.0,49771.0,305.0,1366.0
2020-05-20,18530.0,51035.0,309.0,1415.0
2020-05-21,18963.0,52080.0,313.0,1437.0
2020-05-22,19036.0,53407.0,315.0,1478.0
2020-05-23,19437.0,54466.0,325.0,1503.0
2020-05-24,19753.0,55306.0,332.0,1516.0
2020-05-25,20200.0,55929.0,334.0,1524.0
2020-05-26,20555.0,56559.0,338.0,1532.0
2020-05-27,20922.0,57918.0,348.0,1557.0
2020-05-28,21289.0,59770.0,351.0,1597.0
2020-05-29,22080.0,60979.0,359.0,1623.0
2020-05-30,22562.0,62329.0,364.0,1645.0
2020-05-31,22560.0,64279.0,364.0,1669.0
2020-06-01,23100.0,64871.0,365.0,1675.0
2020-06-02,23840.0,66554.0,375.0,1695.0
2020-06-03,24249.0,68228.0,382.0,1731.0
2020-06-04,24605.0,69842.0,395.0,1764.0
2020-06-05,25070.0,71532.0,404.0,1785.0
2020-06-06,25599.0,73468.0,413.0,1814.0
2020-06-07,25886.0,74892.0,414.0,1826.0
2020-06-08,26426.0,75545.0,417.0,1832.0
2020-06-09,27061.0,77488.0,429.0,1853.0
2020-06-10,27407.0,79936.0,431.0,1885.0
2020-06-11,27886.0,81750.0,436.0,1920.0
2020-06-12,28643.0,83841.0,461.0,1937.0
2020-06-13,29066.0,86179.0,465.0,1955.0
2020-06-14,29921.0,88097.0,467.0,1974.0
2020-06-15,30600.0,89362.0,475.0,1981.0
