Date,TN confirmed,TX confirmed,TN deaths,TX deaths
2020-07-27,2547.0,4412.0,11.0,673.0
2020-07-31,5793.0,8360.0,27.0,295.0
2020-11-09,5860.0,4193.0,15.0,22.0
2020-11-11,3630.0,11071.0,89.0,141.0
2020-11-15,5817.0,6008.0,16.0,89.0
2020-11-16,7931.0,7156.0,30.0,20.0
2020-11-25,2118.0,15726.0,88.0,200.0
2020-11-28,6745.0,5668.0,12.0,102.0
2020-11-30,7973.0,10411.0,44.0,22.0
2020-12-01,5689.0,15537.0,39.0,170.0
2020-12-03,3967.0,13960.0,92.0,244.0
2020-12-04,4356.0,14646.0,92.0,255.0
2020-12-07,8136.0,9089.0,66.0,33.0
2020-12-08,6019.0,15656.0,100.0,181.0
2020-12-09,8213.0,10858.0,64.0,273.0
2020-12-10,6011.0,13260.0,69.0,243.0
2020-12-11,7289.0,12011.0,86.0,238.0
2020-12-12,6691.0,13789.0,73.0,237.0
2020-12-13,11352.0,6636.0,64.0,112.0
2020-12-14,10319.0,8917.0,78.0,26.0
2020-12-15,8251.0,16251.0,72.0,205.0
2020-12-16,11410.0,14337.0,54.0,252.0
2020-12-17,8945.0,17635.0,177.0,266.0
2020-12-18,10421.0,2542.0,117.0,0.0
2020-12-20,16036.0,1342.0,111.0,0.0
2020-12-21,9887.0,184937.0,65.0,0.0
2020-12-22,4404.0,21142.0,133.0,1220.0
2020-12-23,7260.0,43502.0,111.0,34.0
2020-12-25,0.0,-14521.0,0.0,200.0
2020-12-26,14402.0,2624.0,12.0,13.0
2020-12-29,4797.0,33697.0,122.0,241.0
2020-12-30,8220.0,20687.0,100.0,326.0
2020-12-31,5993.0,17370.0,97.0,348.0
2021-01-02,17330.0,8435.0,63.0,-102.0
2021-01-04,3958.0,16996.0,143.0,54.0
2021-01-05,5399.0,32762.0,95.0,250.0
2021-01-06,7588.0,24035.0,118.0,326.0
2021-01-07,9000.0,23651.0,108.0,393.0
2021-01-08,6369.0,1079.0,129.0,0.0
2021-01-09,5844.0,45824.0,86.0,753.0
2021-01-10,7419.0,17522.0,81.0,186.0
2021-01-12,3478.0,26649.0,145.0,286.0
2021-01-13,4624.0,23610.0,136.0,405.0
2021-01-14,4984.0,24973.0,85.0,426.0
2021-01-15,5557.0,28245.0,79.0,400.0
2021-01-16,4808.0,24561.0,45.0,381.0
2021-01-20,4483.0,28430.0,86.0,449.0
2021-01-21,3491.0,24161.0,126.0,441.0
2021-01-22,4065.0,22258.0,94.0,422.0
2021-01-23,4022.0,17032.0,42.0,408.0
2021-01-25,1718.0,7954.0,111.0,71.0
2021-01-26,1979.0,25122.0,191.0,307.0
2021-01-27,3402.0,20155.0,155.0,467.0
2021-01-28,1777.0,18663.0,101.0,472.0
2021-01-30,7159.0,20256.0,157.0,331.0
2021-02-01,1326.0,30721.0,103.0,48.0
2021-02-02,2173.0,21931.0,147.0,331.0
2021-02-03,1856.0,17372.0,133.0,418.0
2021-02-04,3154.0,15131.0,169.0,439.0
2021-02-05,2661.0,15357.0,203.0,401.0
2021-02-08,1203.0,5987.0,96.0,57.0
2021-02-10,3652.0,12372.0,119.0,386.0
